,Date,Exercise Name,Set Order,Weight,Reps,Duration (minutes)
144,2026-08-18,hip extension,1,,15,
145,2026-08-18,hip extension,2,,12,
146,2026-08-18,hip extension,3,,10,
147,2026-08-18,Standing Calf Raise (Bodyweight),1,,15,
148,2026-08-18,Standing Calf Raise (Bodyweight),2,,12,
149,2026-08-18,Standing Calf Raise (Bodyweight),3,,10,
150,2026-08-18,Chin Up (Assisted),1,35.0,10,
151,2026-08-18,Chin Up (Assisted),2,30.0,8,
152,2026-08-18,Chin Up (Assisted),3,25.0,6,
153,2026-08-20,Bench Press (Barbell),1,45.0,12,
154,2026-08-20,Bench Press (Barbell),2,50.0,10,
155,2026-08-20,Bench Press (Barbell),3,55.0,8,
156,2026-08-20,Bench Press (Dumbbell),1,16.0,12,
157,2026-08-20,Bench Press (Dumbbell),2,18.5,10,
158,2026-08-20,Bench Press (Dumbbell),3,21.0,8,
159,2026-08-20,Incline Bench Press (Barbell),1,35.0,12,
160,2026-08-20,Incline Bench Press (Barbell),2,40.0,10,
161,2026-08-20,Incline Bench Press (Barbell),3,45.0,8,
162,2026-08-20,Chest Fly,1,30.0,12,
163,2026-08-20,Chest Fly,2,35.0,10,
164,2026-08-20,Chest Fly,3,40.0,8,
165,2026-08-20,Seated Overhead Press (Dumbbell),1,12.0,12,
166,2026-08-20,Seated Overhead Press (Dumbbell),2,14.5,10,
167,2026-08-20,Seated Overhead Press (Dumbbell),3,17.0,8,
168,2026-08-20,Overhead Press (Barbell),1,27.5,12,
169,2026-08-20,Overhead Press (Barbell),2,30.0,10,
170,2026-08-20,Overhead Press (Barbell),3,32.5,8,
171,2026-08-20,Lateral Raise (Dumbbell),1,7.0,12,
172,2026-08-20,Lateral Raise (Dumbbell),2,9.5,10,
173,2026-08-20,Lateral Raise (Dumbbell),3,12.0,8,
174,2026-08-20,Triceps Pushdown (Cable - Straight Bar),1,22.5,12,
175,2026-08-20,Triceps Pushdown (Cable - Straight Bar),2,25.0,10,
176,2026-08-20,Triceps Pushdown (Cable - Straight Bar),3,27.5,8,
177,2026-08-20,Triceps Extension (Dumbbell),1,10.0,12,
178,2026-08-20,Triceps Extension (Dumbbell),2,12.5,10,
179,2026-08-20,Triceps Extension (Dumbbell),3,15.0,8,
180,2026-08-20,Triceps Extension (Cable),1,17.5,12,
181,2026-08-20,Triceps Extension (Cable),2,20.0,10,
182,2026-08-20,Triceps Extension (Cable),3,22.5,8,
183,2026-08-22,Deadlift (Barbell),1,70.0,12,
184,2026-08-22,Deadlift (Barbell),2,75.0,10,
185,2026-08-22,Deadlift (Barbell),3,80.0,8,
186,2026-08-22,Romanian Deadlift (Barbell),1,55.0,12,
187,2026-08-22,Romanian Deadlift (Barbell),2,60.0,10,
188,2026-08-22,Romanian Deadlift (Barbell),3,65.0,8,
189,2026-08-22,Hip Thrust (Barbell),1,60.0,12,
190,2026-08-22,Hip Thrust (Barbell),2,65.0,10,
191,2026-08-22,Hip Thrust (Barbell),3,70.0,8,
192,2026-08-22,Bulgarian Split Squat,1,12.0,12,
193,2026-08-22,Bulgarian Split Squat,2,14.5,10,
194,2026-08-22,Bulgarian Split Squat,3,17.0,8,
195,2026-08-22,Cable Kickback,1,10.0,12,
196,2026-08-22,Cable Kickback,2,12.5,10,
197,2026-08-22,Cable Kickback,3,15.0,8,
198,2026-08-22,Back Extension,1,,15,
199,2026-08-22,Back Extension,2,,12,
200,2026-08-22,Back Extension,3,,10,
201,2026-08-22,Plank,1,,,1.0
202,2026-08-22,Plank,2,,,1.25
203,2026-08-22,Plank,3,,,1.5
204,2026-08-22,Lunge (Barbell),1,30.0,12,
205,2026-08-22,Lunge (Barbell),2,35.0,10,
206,2026-08-22,Lunge (Barbell),3,40.0,8,
207,2026-08-24,Running (Treadmill),1,,,30
208,2026-08-24,Lat Pulldown (Cable),1,42.5,12,
209,2026-08-24,Lat Pulldown (Cable),2,47.5,10,
210,2026-08-24,Lat Pulldown (Cable),3,52.5,8,
211,2026-08-24,Seated Row (Cable),1,42.5,12,
212,2026-08-24,Seated Row (Cable),2,47.5,10,
213,2026-08-24,Seated Row (Cable),3,52.5,8,
214,2026-08-24,Bent Over One Arm Row (Dumbbell),1,19.25,12,
215,2026-08-24,Bent Over One Arm Row (Dumbbell),2,21.75,10,
216,2026-08-24,Bent Over One Arm Row (Dumbbell),3,24.25,8,
217,2026-08-24,Bent Over Row (Barbell),1,42.5,12,
218,2026-08-24,Bent Over Row (Barbell),2,47.5,10,
219,2026-08-24,Bent Over Row (Barbell),3,52.5,8,
220,2026-08-24,Face Pull (Cable),1,21.25,12,
221,2026-08-24,Face Pull (Cable),2,23.75,10,
222,2026-08-24,Face Pull (Cable),3,26.25,8,
223,2026-08-24,Bicep Curl (Cable),1,16.25,12,
224,2026-08-24,Bicep Curl (Cable),2,18.75,10,
225,2026-08-24,Bicep Curl (Cable),3,21.25,8,
226,2026-08-24,Crunch,1,,15,
227,2026-08-24,Crunch,2,,12,
228,2026-08-24,Crunch,3,,10,
229,2026-08-24,Incline Bench Press (Dumbbell),1,15.25,12,
230,2026-08-24,Incline Bench Press (Dumbbell),2,17.75,10,
231,2026-08-24,Incline Bench Press (Dumbbell),3,20.25,8,
232,2026-08-25,Squat (Barbell),1,57.5,12,
233,2026-08-25,Squat (Barbell),2,62.5,10,
234,2026-08-25,Squat (Barbell),3,67.5,8,
235,2026-08-25,Leg Press,1,102.5,12,
236,2026-08-25,Leg Press,2,107.5,10,
237,2026-08-25,Leg Press,3,112.5,8,
238,2026-08-25,Leg Extension (Machine),1,37.5,12,
239,2026-08-25,Leg Extension (Machine),2,42.5,10,
240,2026-08-25,Leg Extension (Machine),3,47.5,8,
241,2026-08-25,Lying Leg Curl (Machine),1,32.5,12,
242,2026-08-25,Lying Leg Curl (Machine),2,37.5,10,
243,2026-08-25,Lying Leg Curl (Machine),3,42.5,8,
244,2026-08-25,Hip Abductor (Machine),1,42.5,12,
245,2026-08-25,Hip Abductor (Machine),2,47.5,10,
246,2026-08-25,Hip Abductor (Machine),3,52.5,8,
247,2026-08-25,hip extension,1,,15,
248,2026-08-25,hip extension,2,,12,
249,2026-08-25,hip extension,3,,10,
250,2026-08-25,Standing Calf Raise (Bodyweight),1,,15,
251,2026-08-25,Standing Calf Raise (Bodyweight),2,,12,
252,2026-08-25,Standing Calf Raise (Bodyweight),3,,10,
253,2026-08-25,Triceps Extension (Barbell),1,21.25,12,
254,2026-08-25,Triceps Extension (Barbell),2,23.75,10,
255,2026-08-25,Triceps Extension (Barbell),3,26.25,8,
256,2026-08-27,Bench Press (Barbell),1,47.5,12,
257,2026-08-27,Bench Press (Barbell),2,52.5,10,
258,2026-08-27,Bench Press (Barbell),3,57.5,8,
259,2026-08-27,Bench Press (Dumbbell),1,17.25,12,
260,2026-08-27,Bench Press (Dumbbell),2,19.75,10,
261,2026-08-27,Bench Press (Dumbbell),3,22.25,8,
262,2026-08-27,Incline Bench Press (Barbell),1,37.5,12,
263,2026-08-27,Incline Bench Press (Barbell),2,42.5,10,
264,2026-08-27,Incline Bench Press (Barbell),3,47.5,8,
265,2026-08-27,Chest Fly,1,32.5,12,
266,2026-08-27,Chest Fly,2,37.5,10,
267,2026-08-27,Chest Fly,3,42.5,8,
268,2026-08-27,Seated Overhead Press (Dumbbell),1,13.25,12,
269,2026-08-27,Seated Overhead Press (Dumbbell),2,15.75,10,
270,2026-08-27,Seated Overhead Press (Dumbbell),3,18.25,8,
271,2026-08-27,Overhead Press (Barbell),1,28.75,12,
272,2026-08-27,Overhead Press (Barbell),2,31.25,10,
273,2026-08-27,Overhead Press (Barbell),3,33.75,8,
274,2026-08-27,Lateral Raise (Dumbbell),1,8.25,12,
275,2026-08-27,Lateral Raise (Dumbbell),2,10.75,10,
276,2026-08-27,Lateral Raise (Dumbbell),3,13.25,8,
277,2026-08-27,Triceps Pushdown (Cable - Straight Bar),1,23.75,12,
278,2026-08-27,Triceps Pushdown (Cable - Straight Bar),2,26.25,10,
279,2026-08-27,Triceps Pushdown (Cable - Straight Bar),3,28.75,8,
280,2026-08-27,Triceps Extension (Dumbbell),1,11.25,12,
281,2026-08-27,Triceps Extension (Dumbbell),2,13.75,10,
282,2026-08-27,Triceps Extension (Dumbbell),3,16.25,8,
283,2026-08-27,Concentration Curl (Dumbbell),1,10.25,12,
284,2026-08-27,Concentration Curl (Dumbbell),2,12.75,10,
285,2026-08-27,Concentration Curl (Dumbbell),3,15.25,8,
286,2026-08-29,Deadlift (Barbell),1,72.5,12,
287,2026-08-29,Deadlift (Barbell),2,77.5,10,
288,2026-08-29,Deadlift (Barbell),3,82.5,8,
289,2026-08-29,Romanian Deadlift (Barbell),1,57.5,12,
290,2026-08-29,Romanian Deadlift (Barbell),2,62.5,10,
291,2026-08-29,Romanian Deadlift (Barbell),3,67.5,8,
292,2026-08-29,Hip Thrust (Barbell),1,62.5,12,
293,2026-08-29,Hip Thrust (Barbell),2,67.5,10,
294,2026-08-29,Hip Thrust (Barbell),3,72.5,8,
295,2026-08-29,Bulgarian Split Squat,1,13.25,12,
296,2026-08-29,Bulgarian Split Squat,2,15.75,10,
297,2026-08-29,Bulgarian Split Squat,3,18.25,8,
298,2026-08-29,Cable Kickback,1,11.25,12,
299,2026-08-29,Cable Kickback,2,13.75,10,
300,2026-08-29,Cable Kickback,3,16.25,8,
301,2026-08-29,Back Extension,1,,15,
302,2026-08-29,Back Extension,2,,12,
303,2026-08-29,Back Extension,3,,10,
304,2026-08-29,Plank,1,,,1.0
305,2026-08-29,Plank,2,,,1.25
306,2026-08-29,Plank,3,,,1.5
307,2026-08-29,Step-up,1,11.25,12,
308,2026-08-29,Step-up,2,13.75,10,
309,2026-08-29,Step-up,3,16.25,8,
310,2026-08-31,Running (Treadmill),1,,,32
311,2026-08-31,Lat Pulldown (Cable),1,42.5,10,
312,2026-08-31,Lat Pulldown (Cable),2,47.5,8,
313,2026-08-31,Lat Pulldown (Cable),3,52.5,8,
314,2026-08-31,Seated Row (Cable),1,42.5,10,
315,2026-08-31,Seated Row (Cable),2,47.5,8,
316,2026-08-31,Seated Row (Cable),3,52.5,8,
317,2026-08-31,Bent Over One Arm Row (Dumbbell),1,19.25,10,
318,2026-08-31,Bent Over One Arm Row (Dumbbell),2,21.75,8,
319,2026-08-31,Bent Over One Arm Row (Dumbbell),3,24.25,8,
320,2026-08-31,Bent Over Row (Barbell),1,42.5,10,
321,2026-08-31,Bent Over Row (Barbell),2,47.5,8,
322,2026-08-31,Bent Over Row (Barbell),3,52.5,8,
323,2026-08-31,Face Pull (Cable),1,21.25,10,
324,2026-08-31,Face Pull (Cable),2,23.75,8,
325,2026-08-31,Face Pull (Cable),3,26.25,8,
326,2026-08-31,Bicep Curl (Cable),1,16.25,10,
327,2026-08-31,Bicep Curl (Cable),2,18.75,8,
328,2026-08-31,Bicep Curl (Cable),3,21.25,8,
329,2026-08-31,Crunch,1,,15,
330,2026-08-31,Crunch,2,,12,
331,2026-08-31,Crunch,3,,10,
332,2026-08-31,Shoulder Press (Plate Loaded),1,32.5,10,
333,2026-08-31,Shoulder Press (Plate Loaded),2,37.5,8,
334,2026-08-31,Shoulder Press (Plate Loaded),3,42.5,8,
335,2026-09-01,Squat (Barbell),1,57.5,10,
336,2026-09-01,Squat (Barbell),2,62.5,8,
337,2026-09-01,Squat (Barbell),3,67.5,8,
338,2026-09-01,Leg Press,1,102.5,10,
339,2026-09-01,Leg Press,2,107.5,8,
340,2026-09-01,Leg Press,3,112.5,8,
341,2026-09-01,Leg Extension (Machine),1,37.5,10,
342,2026-09-01,Leg Extension (Machine),2,42.5,8,
343,2026-09-01,Leg Extension (Machine),3,47.5,8,
344,2026-09-01,Lying Leg Curl (Machine),1,32.5,10,
345,2026-09-01,Lying Leg Curl (Machine),2,37.5,8,
346,2026-09-01,Lying Leg Curl (Machine),3,42.5,8,
347,2026-09-01,Hip Abductor (Machine),1,42.5,10,
348,2026-09-01,Hip Abductor (Machine),2,47.5,8,
349,2026-09-01,Hip Abductor (Machine),3,52.5,8,
350,2026-09-01,hip extension,1,,15,
351,2026-09-01,hip extension,2,,12,
352,2026-09-01,hip extension,3,,10,
353,2026-09-01,Standing Calf Raise (Bodyweight),1,,15,
354,2026-09-01,Standing Calf Raise (Bodyweight),2,,12,
355,2026-09-01,Standing Calf Raise (Bodyweight),3,,10,
356,2026-09-01,Lateral Raise (Cable),1,6.25,10,
357,2026-09-01,Lateral Raise (Cable),2,8.75,8,
358,2026-09-01,Lateral Raise (Cable),3,11.25,8,
359,2026-09-03,Bench Press (Barbell),1,47.5,10,
360,2026-09-03,Bench Press (Barbell),2,52.5,8,
361,2026-09-03,Bench Press (Barbell),3,57.5,8,
362,2026-09-03,Bench Press (Dumbbell),1,17.25,10,
363,2026-09-03,Bench Press (Dumbbell),2,19.75,8,
364,2026-09-03,Bench Press (Dumbbell),3,22.25,8,
365,2026-09-03,Incline Bench Press (Barbell),1,37.5,10,
366,2026-09-03,Incline Bench Press (Barbell),2,42.5,8,
367,2026-09-03,Incline Bench Press (Barbell),3,47.5,8,
368,2026-09-03,Chest Fly,1,32.5,10,
369,2026-09-03,Chest Fly,2,37.5,8,
370,2026-09-03,Chest Fly,3,42.5,8,
371,2026-09-03,Seated Overhead Press (Dumbbell),1,13.25,10,
372,2026-09-03,Seated Overhead Press (Dumbbell),2,15.75,8,
373,2026-09-03,Seated Overhead Press (Dumbbell),3,18.25,8,
374,2026-09-03,Overhead Press (Barbell),1,28.75,10,
375,2026-09-03,Overhead Press (Barbell),2,31.25,8,
376,2026-09-03,Overhead Press (Barbell),3,33.75,8,
377,2026-09-03,Lateral Raise (Dumbbell),1,8.25,10,
378,2026-09-03,Lateral Raise (Dumbbell),2,10.75,8,
379,2026-09-03,Lateral Raise (Dumbbell),3,13.25,8,
380,2026-09-03,Triceps Pushdown (Cable - Straight Bar),1,23.75,10,
381,2026-09-03,Triceps Pushdown (Cable - Straight Bar),2,26.25,8,
382,2026-09-03,Triceps Pushdown (Cable - Straight Bar),3,28.75,8,
383,2026-09-03,Triceps Extension (Dumbbell),1,11.25,10,
384,2026-09-03,Triceps Extension (Dumbbell),2,13.75,8,
385,2026-09-03,Triceps Extension (Dumbbell),3,16.25,8,
386,2026-09-03,Overhead Triceps Extension,1,13.25,10,
387,2026-09-03,Overhead Triceps Extension,2,15.75,8,
388,2026-09-03,Overhead Triceps Extension,3,18.25,8,
389,2026-09-05,Deadlift (Barbell),1,72.5,10,
390,2026-09-05,Deadlift (Barbell),2,77.5,8,
391,2026-09-05,Deadlift (Barbell),3,82.5,8,
392,2026-09-05,Romanian Deadlift (Barbell),1,57.5,10,
393,2026-09-05,Romanian Deadlift (Barbell),2,62.5,8,
394,2026-09-05,Romanian Deadlift (Barbell),3,67.5,8,
395,2026-09-05,Hip Thrust (Barbell),1,62.5,10,
396,2026-09-05,Hip Thrust (Barbell),2,67.5,8,
397,2026-09-05,Hip Thrust (Barbell),3,72.5,8,
398,2026-09-05,Bulgarian Split Squat,1,13.25,10,
399,2026-09-05,Bulgarian Split Squat,2,15.75,8,
400,2026-09-05,Bulgarian Split Squat,3,18.25,8,
401,2026-09-05,Cable Kickback,1,11.25,10,
402,2026-09-05,Cable Kickback,2,13.75,8,
403,2026-09-05,Cable Kickback,3,16.25,8,
404,2026-09-05,Back Extension,1,,15,
405,2026-09-05,Back Extension,2,,12,
406,2026-09-05,Back Extension,3,,10,
407,2026-09-05,Plank,1,,,1.0
408,2026-09-05,Plank,2,,,1.25
409,2026-09-05,Plank,3,,,1.5
410,2026-09-05,Lunge (Dumbbell),1,13.25,10,
411,2026-09-05,Lunge (Dumbbell),2,15.75,8,
412,2026-09-05,Lunge (Dumbbell),3,18.25,8,
413,2026-09-07,Running (Treadmill),1,,,25
414,2026-09-07,Lat Pulldown (Cable),1,45.0,12,
415,2026-09-07,Lat Pulldown (Cable),2,50.0,10,
416,2026-09-07,Lat Pulldown (Cable),3,55.0,8,
417,2026-09-07,Seated Row (Cable),1,45.0,12,
418,2026-09-07,Seated Row (Cable),2,50.0,10,
419,2026-09-07,Seated Row (Cable),3,55.0,8,
420,2026-09-07,Bent Over One Arm Row (Dumbbell),1,20.5,12,
421,2026-09-07,Bent Over One Arm Row (Dumbbell),2,23.0,10,
422,2026-09-07,Bent Over One Arm Row (Dumbbell),3,25.5,8,
423,2026-09-07,Bent Over Row (Barbell),1,45.0,12,
424,2026-09-07,Bent Over Row (Barbell),2,50.0,10,
425,2026-09-07,Bent Over Row (Barbell),3,55.0,8,
426,2026-09-07,Face Pull (Cable),1,22.5,12,
427,2026-09-07,Face Pull (Cable),2,25.0,10,
428,2026-09-07,Face Pull (Cable),3,27.5,8,
429,2026-09-07,Bicep Curl (Cable),1,17.5,12,
430,2026-09-07,Bicep Curl (Cable),2,20.0,10,
431,2026-09-07,Bicep Curl (Cable),3,22.5,8,
432,2026-09-07,Crunch,1,,15,
433,2026-09-07,Crunch,2,,12,
434,2026-09-07,Crunch,3,,10,
435,2026-09-07,Strict Military Press (Barbell),1,27.5,12,
436,2026-09-07,Strict Military Press (Barbell),2,30.0,10,
437,2026-09-07,Strict Military Press (Barbell),3,32.5,8,
438,2026-09-08,Squat (Barbell),1,60.0,12,
439,2026-09-08,Squat (Barbell),2,65.0,10,
440,2026-09-08,Squat (Barbell),3,70.0,8,
441,2026-09-08,Leg Press,1,105.0,12,
442,2026-09-08,Leg Press,2,110.0,10,
443,2026-09-08,Leg Press,3,115.0,8,
444,2026-09-08,Leg Extension (Machine),1,40.0,12,
445,2026-09-08,Leg Extension (Machine),2,45.0,10,
446,2026-09-08,Leg Extension (Machine),3,50.0,8,
447,2026-09-08,Lying Leg Curl (Machine),1,35.0,12,
448,2026-09-08,Lying Leg Curl (Machine),2,40.0,10,
449,2026-09-08,Lying Leg Curl (Machine),3,45.0,8,
450,2026-09-08,Hip Abductor (Machine),1,45.0,12,
451,2026-09-08,Hip Abductor (Machine),2,50.0,10,
452,2026-09-08,Hip Abductor (Machine),3,55.0,8,
453,2026-09-08,hip extension,1,,15,
454,2026-09-08,hip extension,2,,12,
455,2026-09-08,hip extension,3,,10,
456,2026-09-08,Standing Calf Raise (Bodyweight),1,,15,
457,2026-09-08,Standing Calf Raise (Bodyweight),2,,12,
458,2026-09-08,Standing Calf Raise (Bodyweight),3,,10,
459,2026-09-08,Stiff Leg Deadlift (Barbell),1,55.0,12,
460,2026-09-08,Stiff Leg Deadlift (Barbell),2,60.0,10,
461,2026-09-08,Stiff Leg Deadlift (Barbell),3,65.0,8,
462,2026-09-10,Bench Press (Barbell),1,50.0,12,
463,2026-09-10,Bench Press (Barbell),2,55.0,10,
464,2026-09-10,Bench Press (Barbell),3,60.0,8,
465,2026-09-10,Bench Press (Dumbbell),1,18.5,12,
466,2026-09-10,Bench Press (Dumbbell),2,21.0,10,
467,2026-09-10,Bench Press (Dumbbell),3,23.5,8,
468,2026-09-10,Incline Bench Press (Barbell),1,40.0,12,
469,2026-09-10,Incline Bench Press (Barbell),2,45.0,10,
470,2026-09-10,Incline Bench Press (Barbell),3,50.0,8,
471,2026-09-10,Chest Fly,1,35.0,12,
472,2026-09-10,Chest Fly,2,40.0,10,
473,2026-09-10,Chest Fly,3,45.0,8,
474,2026-09-10,Seated Overhead Press (Dumbbell),1,14.5,12,
475,2026-09-10,Seated Overhead Press (Dumbbell),2,17.0,10,
476,2026-09-10,Seated Overhead Press (Dumbbell),3,19.5,8,
